Germinated,Survived_to_experiment_end,Block_in_greenhouse,Side_of_table,Row_on_table,Role_in_experiment,Role,Seedling_species,Focal,Mg_dry_wt_at_experiment_end,Species_of_impact,Type_of_impact
1,1,24,N,Y,A,P,PV,F,74.1,Parkinsonia,Competition
1,1,24,N,Y,A,P,PV,NF,129.2,Parkinsonia,Competition
1,1,24,N,Z,B,P,PV,F,93,Pennisetum,Competition
1,1,24,N,Z,B,P,BG,NF,208.8,Pennisetum,Competition
1,1,24,N,X,C,R,PV,F,95.7,Control,Leachate
1,1,24,N,Y,A,R,PV,F,79.5,Parkinsonia,Leachate
1,1,24,N,Z,B,R,PV,F,38.2,Pennisetum,Leachate
1,1,25,N,X,A,D,PV,NF,392.1,Parkinsonia,Leachate Donor
1,1,25,N,Y,B,D,BG,NF,524.2,Pennisetum,Leachate Donor
0,NA,25,N,X,A,P,PV,F,0,Parkinsonia,Competition
1,1,25,N,X,A,P,PV,NF,186.9,Parkinsonia,Competition
1,1,25,N,Y,B,P,PV,F,53.4,Pennisetum,Competition
0,1,25,N,Y,B,P,BG,NF,10.2,Pennisetum,Competition
0,1,25,N,Z,C,P,PV,F,82.6,Control,Competition
1,1,25,N,X,A,R,PV,F,103.3,Parkinsonia,Leachate
1,1,25,N,Y,B,R,PV,F,87.7,Pennisetum,Leachate
0,1,25,N,Z,C,R,PV,F,91.6,Control,Leachate
1,1,26,N,X,B,D,BG,NF,47.5,Pennisetum,Leachate Donor
1,1,26,N,Z,A,D,PV,NF,474.2,Parkinsonia,Leachate Donor
1,1,26,N,X,B,P,PV,F,132.1,Pennisetum,Competition
1,1,26,N,X,B,P,BG,NF,44.3,Pennisetum,Competition
1,1,26,N,Y,C,P,PV,F,59.9,Control,Competition
1,1,26,N,Z,A,P,PV,F,57.2,Parkinsonia,Competition
1,1,26,N,Z,A,P,PV,NF,150.8,Parkinsonia,Competition
1,1,26,N,X,B,R,PV,F,85.3,Pennisetum,Leachate
1,1,26,N,Y,C,R,PV,F,77.6,Control,Leachate
1,1,26,N,Z,A,R,PV,F,125.8,Parkinsonia,Leachate
1,1,27,N,Y,A,D,PV,NF,573.7,Parkinsonia,Leachate Donor
1,1,27,N,Z,B,D,BG,NF,82.7,Pennisetum,Leachate Donor
1,1,27,N,X,C,P,PV,F,124.8,Control,Competition
0,0,27,N,Y,A,P,PV,F,0,Parkinsonia,Competition
1,1,27,N,Y,A,P,PV,NF,224.4,Parkinsonia,Competition
1,1,27,N,Z,B,P,PV,F,91,Pennisetum,Competition
1,1,27,N,Z,B,P,BG,NF,112.6,Pennisetum,Competition
1,1,27,N,X,C,R,PV,F,57.7,Control,Leachate
1,1,27,N,Y,A,R,PV,F,79.5,Parkinsonia,Leachate
0,NA,27,N,Z,B,R,PV,F,0,Pennisetum,Leachate
1,1,28,N,X,A,D,PV,NF,290.6,Parkinsonia,Leachate Donor
1,1,28,N,Y,B,D,BG,NF,360.4,Pennisetum,Leachate Donor
0,1,28,N,X,A,P,PV,F,10.5,Parkinsonia,Competition
1,1,28,N,X,A,P,PV,NF,120.6,Parkinsonia,Competition
1,1,28,N,Y,B,P,PV,F,88.5,Pennisetum,Competition
1,1,28,N,Y,B,P,BG,NF,114.5,Pennisetum,Competition
1,1,28,N,Z,C,P,PV,F,105.4,Control,Competition
1,1,28,N,X,A,R,PV,F,59.5,Parkinsonia,Leachate
1,0,28,N,X,B,R,PV,F,80,Pennisetum,Leachate
1,1,28,N,Z,C,R,PV,F,37,Control,Leachate
1,1,29,N,X,B,D,BG,NF,93.4,Pennisetum,Leachate Donor
1,1,29,N,Z,A,D,PV,NF,39.5,Parkinsonia,Leachate Donor
0,1,29,N,X,B,P,PV,F,79,Pennisetum,Competition
1,1,29,N,X,B,P,BG,NF,5.5,Pennisetum,Competition
1,1,29,N,Y,C,P,PV,F,89.2,Control,Competition
0,0,29,N,Z,A,P,PV,F,0,Parkinsonia,Competition
1,1,29,N,Z,A,P,PV,NF,54.7,Parkinsonia,Competition
1,1,29,N,X,B,R,PV,F,72.2,Pennisetum,Leachate
1,1,29,N,Y,C,R,PV,F,78.1,Control,Leachate
